item_id,order_id,product_id,quantity,unit_price,discount_percent
159,691,29,6,3125.34,46.5
160,376,18,3,4529.99,77.4
161,343,123,4,5925.3,75.2
162,215,69,4,4078.17,42.3
163,382,129,6,4260.79,12.3
164,695,95,5,6419.24,94.5
165,68,118,4,789.74,39.1
166,79,29,2,5606.95,49.6
167,534,139,1,7460.6,47.4
168,661,17,1,274.09,80.2
169,533,88,6,5280.51,78.7
170,682,146,8,1142.44,78.9
171,267,74,4,6181.02,4.7
172,467,42,3,5723.32,28.5
173,683,30,3,425.1,31.7
174,267,144,6,5686.36,66.6
175,152,42,6,4315.78,12.1
177,560,76,6,3843.89,29.0
178,588,114,3,2775.61,11.2
179,42,30,3,2533.85,40.2
180,457,15,6,4904.39,19.5
181,285,138,-4,6810.67,67.7
182,525,82,7,4865.06,51.2
183,683,110,6,3020.08,37.3
184,360,144,5,792.03,72.8
185,426,109,8,5855.98,41.4
186,613,78,2,3849.44,86.8
187,68,105,7,5146.57,27.3
188,474,98,3,2386.76,49.1
189,310,119,5,1873.71,79.1
190,308,74,8,3395.54,49.2
191,251,71,1,3995.1,97.1
192,371,67,8,5061.17,47.6
193,123,148,6,238.61,26.0
194,150,35,6,2923.35,5.3
195,652,75,6,4283.94,93.6
196,644,43,3,4395.33,87.2
197,309,93,5,857.08,58.0
198,14,96,3,6252.58,41.2
199,167,129,2,1846.8,18.8
200,629,20,2,1020.87,13.1
202,351,8,3,5981.24,11.9
203,146,54,4,1128.72,7.9
204,115,124,-2,6082.94,4.3
205,676,65,1,441.92,30.2
207,30,72,2,7595.45,34.8
208,513,18,4,882.93,57.8
210,102,122,4,2995.06,58.9
211,110,98,3,3450.33,51.4
212,322,134,2,1173.71,76.2
213,571,127,1,1014.21,28.4
214,320,105,8,2395.66,85.5
215,72,95,8,1516.45,99.9
216,108,22,7,1041.82,39.5
217,105,51,3,2775.19,59.5
218,126,128,4,2300.29,71.3
219,280,104,7,7901.43,51.1
220,466,126,2,4028.46,62.8
221,102,128,1,5457.05,97.2
222,696,25,6,6105.35,66.1
223,505,128,8,3972.98,26.2
224,554,9,1,7926.62,88.0
225,461,114,6,3731.28,3.3
226,311,35,3,2568.43,38.9
227,583,139,8,4620.46,47.6
228,519,127,1,4769.26,37.8
229,292,12,6,1112.76,36.6
230,598,88,1,3106.53,42.8
231,422,63,6,2056.15,64.8
232,68,44,5,255.72,32.6
233,433,121,7,4745.11,98.6
234,400,126,6,890.45,67.5
235,515,77,6,2970.34,43.6
236,78,13,4,2448.83,57.4
237,640,149,2,848.4,33.7
238,544,89,8,6385.65,65.2
239,308,81,7,1680.61,40.2
240,465,133,3,6915.41,57.7
241,479,137,5,6490.57,85.3
242,580,94,1,3753.64,24.0
243,308,17,7,5108.03,84.6
244,294,61,3,3306.34,11.4
245,252,144,5,7931.22,42.2
246,207,8,3,2141.34,80.4
247,181,125,1,6279.65,5.5
248,322,105,5,7184.51,67.2
249,407,147,3,5902.4,93.3
250,595,24,5,1980.81,12.2
251,338,61,7,7490.45,21.8
252,220,66,5,6916.91,5.6
253,116,122,6,5493.63,96.3
254,149,95,6,6588.79,2.1
255,621,14,1,5556.39,78.9
256,566,93,7,7234.94,68.5
257,243,101,8,7427.31,91.8
258,242,42,5,7335.54,63.1
259,660,71,7,6944.91,82.3
260,483,86,7,5767.35,87.7
261,165,91,5,3424.88,72.9
262,335,14,8,5166.85,18.4
263,657,52,-3,5063.54,31.4
264,162,34,4,6790.99,68.6
265,328,35,8,2159.37,68.7
266,289,95,4,1536.93,87.6
267,585,6,-4,7392.59,64.7
268,92,44,8,493.29,61.8
269,153,44,2,7583.22,11.7
270,446,127,8,1036.25,71.4
271,273,98,5,1128.57,85.6
272,290,105,4,6360.46,2.9
273,242,95,8,4704.93,64.7
274,481,102,3,5526.13,71.3
275,612,143,5,564.14,33.3
276,363,130,-1,4995.3,30.3
277,380,144,3,424.89,17.9
278,505,34,6,808.22,71.0
279,267,33,2,4043.76,97.3
280,370,68,7,4942.16,76.2
281,321,81,7,5921.27,49.1
282,570,39,8,531.08,18.3
283,168,127,8,422.25,35.7
284,497,38,8,1076.87,9.4
285,185,70,3,4549.65,66.3
286,5,20,3,2044.64,49.8
287,337,32,1,3213.94,59.0
288,332,118,-3,6662.52,66.0
289,276,12,1,5283.76,95.1
290,583,13,3,6432.31,28.3
291,73,66,7,1506.29,96.5
292,92,42,1,3169.17,40.2
293,670,126,3,6428.69,73.6
294,618,25,3,6673.22,51.3
295,398,109,8,812.76,42.3
296,191,24,7,419.46,34.2
297,230,135,3,5073.52,52.5
298,448,123,2,2473.11,98.4
299,308,76,4,4591.43,55.1
300,526,106,2,846.43,66.1
301,260,21,6,6172.31,1.6
302,474,101,3,457.54,41.6
303,322,116,8,5028.1,26.5
304,192,67,4,6985.76,10.6
305,6,44,7,5280.83,46.0
306,674,93,8,5556.23,96.3
307,310,4,2,1607.34,81.6
308,193,38,1,5232.94,43.6
309,552,119,4,1270.51,42.2
310,157,121,8,255.06,45.0
311,302,3,7,911.04,84.8
312,426,142,8,7992.31,3.7
313,526,16,8,4273.64,42.2
314,66,107,5,7124.21,11.7
315,662,112,6,264.37,28.8
316,353,57,8,4742.5,68.5
317,673,76,8,5811.66,39.0
318,690,42,6,5012.55,28.2
319,684,52,8,1334.88,49.2
320,506,143,5,471.69,1.8
321,366,129,3,352.56,6.4
322,633,58,4,3942.29,99.4
323,48,132,5,4873.89,10.4
324,449,29,8,7799.81,78.2
325,105,43,1,5076.42,87.1
326,161,130,5,4037.29,87.0
327,373,32,6,6803.9,43.9
328,7,122,4,2796.43,50.5
329,382,63,7,1297.73,75.4
330,234,106,3,7352.36,89.8
331,529,114,6,1250.12,1.0
332,72,103,2,7857.36,16.4
333,38,15,3,7824.09,98.0
334,533,142,5,7001.02,72.2
335,353,136,1,4922.17,14.7
336,660,114,4,5610.02,88.8
337,415,22,4,392.06,33.4
338,130,131,5,4459.11,52.1
339,164,139,-1,4780.78,24.1
340,433,96,2,2152.08,50.7
341,667,147,2,5921.18,45.3
342,596,73,4,5368.69,81.5
343,144,64,7,931.29,51.6
344,370,109,8,6644.66,8.2
345,134,20,8,3017.42,52.6
346,532,150,7,4040.74,42.3
347,502,37,7,4095.71,48.5
348,526,117,2,3839.51,74.6
349,379,105,2,971.66,37.0
350,536,79,3,7929.06,30.3
351,147,108,3,484.34,89.4
352,221,126,3,116.48,54.8
353,46,80,7,4569.54,90.0
354,487,130,3,5128.04,76.2
355,153,105,6,3159.16,90.0
356,47,23,8,6941.03,70.7
357,317,22,2,1620.17,61.9
358,55,129,4,7185.23,12.0
359,185,53,1,2037.76,70.6
360,455,83,2,3274.2,4.5
361,24,107,6,290.05,52.8
362,94,139,2,1428.43,14.4
363,92,105,3,5461.01,5.9
364,186,77,1,3180.52,32.0
365,332,31,5,509.84,24.0
366,243,130,8,3141.88,11.5
367,476,8,7,3319.2,23.4
368,276,143,2,5247.25,12.6
369,457,129,2,1707.31,96.8
370,173,109,4,7694.68,55.5
371,476,43,5,104.29,93.4
372,613,98,5,7994.01,84.2
373,523,137,5,4548.34,30.1
374,126,72,3,7038.41,21.1
375,326,116,6,2256.8,66.2
376,216,85,8,225.41,69.2
377,3,3,-8,5414.38,41.3
378,501,20,7,4355.33,89.3
379,456,97,2,6636.99,35.8
380,9,50,2,3612.16,22.2
382,372,54,1,156.37,98.4
383,114,127,5,1446.77,19.4
384,689,33,3,5993.19,12.7
385,234,6,5,7936.42,69.3
386,259,110,-8,5163.63,94.3
387,331,105,7,2264.88,68.0
388,371,58,1,471.02,91.8
389,324,86,1,746.29,57.2
391,338,25,5,320.19,43.2
393,56,61,6,7554.03,77.6
394,98,22,8,7798.75,91.7
395,67,114,3,532.83,61.1
396,105,76,1,6814.44,40.2
397,421,3,4,3681.95,46.4
398,636,7,2,3687.21,32.8
399,106,18,1,4783.8,84.1
400,130,124,5,5824.52,44.5
401,46,150,1,3543.2,96.0
402,319,80,3,4866.3,29.1
403,531,130,3,6571.55,55.9
404,353,52,4,6303.58,34.2
405,479,145,6,7708.21,61.6
406,167,11,2,4017.85,92.0
407,236,62,8,3897.9,76.8
408,385,2,4,2966.26,7.4
409,118,50,3,5087.54,91.3
410,31,45,4,1829.67,26.2
411,568,6,4,1491.01,26.2
412,694,29,3,2773.23,21.0
413,379,135,6,7819.1,99.8
414,67,34,2,6379.7,19.2
415,384,63,6,7376.01,76.3
416,549,84,5,2052.66,62.9
417,130,21,8,6298.86,79.1
418,172,131,7,3056.7,51.9
419,383,127,8,3842.69,58.1
420,598,52,1,3671.43,23.4
421,436,96,7,2110.78,8.5
422,303,59,8,4713.3,46.5
423,437,105,8,3003.34,49.8
424,26,68,3,5198.3,35.9
425,514,59,2,877.43,7.1
426,206,85,6,2075.19,74.5
427,282,36,4,7987.4,75.2
428,268,73,1,6596.24,78.3
429,416,132,1,7915.27,95.1
430,234,54,4,3848.06,51.6
431,480,22,8,2573.29,18.8
432,428,143,4,337.82,13.9
433,313,91,1,2784.6,41.9
434,414,6,5,4583.86,3.2
435,339,53,7,7594.67,6.4
436,487,116,2,5148.13,30.5
437,692,126,3,312.02,19.9
438,396,75,5,5310.6,7.0
439,531,106,1,3189.73,99.0
440,429,100,8,7645.26,86.6
441,211,122,5,1354.37,57.5
442,208,2,8,7929.57,44.6
443,620,146,4,7045.99,46.0
444,94,117,5,2839.58,84.3
445,401,46,3,7209.72,73.3
446,675,25,3,3209.06,94.6
447,162,138,5,2405.93,91.6
448,223,142,8,1057.72,36.9
449,517,43,6,2096.86,50.6
450,75,103,8,6860.61,39.7
452,249,72,8,6748.34,17.1
454,12,92,5,1505.73,71.4
455,546,13,4,6708.36,81.2
456,676,79,2,3607.49,59.8
457,387,96,4,7279.18,20.0
459,99,12,3,3383.87,10.8
460,576,139,4,3221.0,42.8
461,109,4,6,3276.9,31.6
462,470,72,4,5234.57,36.9
463,224,128,7,7866.51,10.2
464,583,25,3,4838.95,98.1
465,695,82,3,7826.37,66.6
466,19,60,8,4077.02,70.5
468,384,39,8,3068.41,64.2
469,613,85,8,1160.71,31.8
470,41,74,7,6029.35,22.9
471,351,14,4,7262.39,66.5
472,228,47,7,3594.65,0.6
473,72,37,4,7512.37,12.6
474,563,21,4,3467.29,46.7
475,203,64,4,2494.5,57.6
476,207,124,5,732.13,97.3
477,172,130,8,4914.21,43.3
478,494,110,1,6846.93,75.9
479,610,45,3,2132.6,46.4
480,385,35,8,5747.42,19.6
481,5,96,1,3982.48,92.6
482,383,19,7,3329.42,3.9
483,395,112,3,7661.07,77.1
484,357,95,8,5602.0,65.1
485,253,93,4,5084.53,67.6
486,661,117,3,7559.7,14.7
487,593,24,-3,5190.74,91.7
488,601,49,2,7020.45,16.6
489,310,106,7,6044.45,92.4
490,112,69,6,6014.97,93.0
491,316,126,1,112.47,7.0
492,538,111,7,1448.01,37.5
493,203,29,8,3660.22,81.4
494,61,50,3,2148.88,90.2
495,642,43,2,730.5,8.6
496,66,61,-6,3875.39,67.3
497,63,2,5,5356.05,78.9
498,217,134,1,7896.49,76.1
499,485,87,6,3029.2,89.0
500,246,97,6,4925.39,97.5
501,103,103,1,5829.24,88.8
502,617,72,2,7613.39,75.1
503,463,49,8,124.72,63.8
504,330,12,1,7759.82,73.6
505,240,21,8,2851.84,93.9
506,488,76,2,4896.67,71.2
507,586,23,1,2480.65,67.3
508,479,30,3,3909.13,54.1
509,175,8,2,1365.86,92.9
510,288,122,4,7616.88,67.1
511,548,86,8,6988.33,93.2
512,616,97,2,7290.32,74.3
513,670,58,7,2146.84,29.1
514,349,30,4,4625.43,12.7
515,390,138,1,1599.88,38.8
516,374,57,3,942.03,0.9
517,324,76,3,6714.01,50.0
518,616,9,5,4831.15,30.9
519,127,147,5,3878.43,82.9
520,386,86,1,1306.35,71.7
521,231,46,1,6868.55,72.7
522,676,141,3,3199.06,42.2
523,357,136,7,5841.36,28.2
524,562,83,7,6042.91,58.0
525,312,148,8,1186.73,69.6
526,149,51,4,5909.02,0.9
527,590,38,2,3074.79,98.3
528,173,122,1,1519.1,5.2
529,666,39,6,5053.08,40.4
530,247,45,7,5257.1,37.5
531,687,98,2,2274.21,65.3
532,123,126,2,5167.13,90.8
533,601,25,8,6375.32,18.1
534,661,33,7,885.59,6.3
535,551,6,3,3210.99,81.7
536,543,150,8,4357.96,81.9
537,213,47,2,142.06,44.7
538,41,42,3,793.79,25.7
539,87,94,2,7733.58,17.2
540,674,12,1,7575.1,51.9
541,675,126,8,5591.3,52.3
542,361,12,4,1973.09,18.8
543,221,56,3,4775.09,27.7
544,433,67,2,3116.08,90.4
545,86,37,5,4333.64,7.1
546,649,145,4,5292.81,82.1
547,430,112,3,3093.64,96.4
548,277,141,2,3313.57,32.9
549,342,58,5,2261.81,9.8
550,228,32,7,1488.28,72.8
551,502,147,2,6936.65,55.2
552,50,100,3,1527.31,80.6
553,545,33,7,2146.58,68.7
554,674,146,3,5909.84,5.3
555,380,108,4,5683.62,18.3
556,480,110,5,4212.7,71.8
557,235,23,5,7584.89,40.7
558,93,62,2,7564.45,16.5
559,293,3,8,7701.11,42.4
560,140,137,8,5613.27,40.5
561,8,89,7,2029.39,73.9
562,541,44,1,5428.73,88.2
563,231,35,3,4158.11,95.2
564,389,29,3,2769.87,67.9
565,121,76,5,2191.53,0.2
566,404,132,4,6623.25,3.5
567,633,2,8,4962.69,32.9
568,6,48,6,3276.34,0.9
569,203,40,2,3344.68,91.3
571,550,113,5,5284.61,43.9
572,445,51,1,974.26,28.5
573,432,42,6,5363.02,94.8
574,273,141,2,4014.98,68.2
575,410,28,7,6362.43,12.6
576,14,88,4,3494.35,59.7
578,524,30,3,6926.92,99.4
579,440,27,4,5639.05,50.2
580,606,34,3,3270.14,27.4
581,150,52,-7,818.39,5.1
582,314,110,4,3885.64,51.0
583,312,72,2,7549.69,71.2
584,49,14,3,5317.4,32.2
585,287,65,2,7591.79,36.4
586,100,34,1,2716.57,74.1
587,604,71,6,1759.26,38.4
588,134,49,2,1624.13,44.6
589,560,122,6,7918.19,20.2
590,45,141,3,5721.66,89.2
591,574,115,6,5075.93,11.7
592,495,129,7,6347.99,16.7
593,133,145,5,580.27,97.2
594,408,132,8,7775.15,16.6
595,394,70,7,1734.7,0.4
596,607,132,1,3697.98,70.8
597,311,69,4,4461.99,17.1
598,244,38,5,7542.16,27.8
599,53,54,4,4323.3,0.1
600,620,141,6,2185.9,13.4
601,302,3,6,6609.06,21.9
602,181,138,5,5292.81,86.8
603,598,98,2,7570.68,25.7
604,619,57,4,2661.68,20.4
605,405,112,3,3012.26,90.2
606,186,46,8,1591.99,49.1
607,664,42,-5,7093.5,81.7
608,193,110,2,2037.51,90.9
609,103,4,3,4866.02,37.8
611,643,3,1,7665.18,10.6
612,347,123,2,6101.41,89.2
613,315,63,6,541.42,69.2
614,127,27,1,4402.67,10.3
615,426,58,-3,289.61,42.7
616,672,99,5,5525.45,71.5
617,504,58,3,903.72,95.6
618,631,22,6,7175.13,60.5
619,544,109,6,1286.74,66.7
620,294,70,6,7338.25,66.2
621,79,39,1,6244.49,14.7
622,458,29,8,4664.96,96.0
623,93,47,6,6163.53,35.3
624,493,86,7,1191.95,94.4
625,393,138,7,4316.79,53.2
626,394,108,2,4262.87,77.7
627,225,1,2,1705.91,85.1
628,486,16,3,7299.76,36.1
629,143,142,5,7777.37,91.3
630,230,31,1,7700.21,70.4
631,27,28,7,5335.7,7.4
632,162,37,1,724.05,7.7
633,427,121,3,5974.11,74.8
634,307,87,8,3607.39,64.5
636,406,117,7,4477.83,83.0
637,514,109,5,7458.46,27.2
638,387,103,3,4990.45,21.9
639,573,120,2,3871.59,65.3
640,390,96,3,5208.51,19.5
641,80,86,6,321.59,28.2
642,67,80,4,1583.18,20.2
643,247,146,5,4561.89,56.4
644,47,80,1,166.98,35.7
645,408,101,4,5832.94,97.4
646,100,129,6,897.92,80.7
647,602,10,7,2391.94,15.2
648,641,60,2,7086.78,80.7
649,165,34,6,2778.26,36.0
650,442,100,1,1988.97,99.7
651,157,4,8,1226.72,87.0
652,90,81,8,1440.77,29.6
653,591,19,6,1515.57,77.2
654,485,114,5,5237.31,14.0
655,583,74,8,3267.42,85.7
656,133,81,8,3052.1,68.2
657,270,15,1,5954.24,24.5
658,9,75,3,3068.99,57.0
659,229,24,7,2856.61,46.8
660,477,28,2,7347.94,92.2
661,205,82,7,2805.15,60.4
662,488,10,2,4406.14,94.9
663,219,98,6,592.96,80.9
664,485,6,4,7625.9,68.4
665,651,18,3,2263.85,8.2
666,463,67,7,1554.22,5.4
667,439,77,6,1399.81,34.9
668,487,112,3,2902.07,69.3
669,11,149,4,4970.45,32.4
670,325,118,1,7477.17,49.9
671,691,1,7,7907.08,94.3
672,650,149,8,869.82,21.9
673,431,56,3,2849.88,95.2
674,591,94,1,227.91,89.7
675,128,117,8,3371.02,35.2
676,437,46,6,3724.71,37.3
677,167,112,7,5109.45,70.2
678,102,27,2,808.14,1.6
679,107,140,8,887.65,44.4
680,34,55,5,1860.75,45.5
681,201,90,8,7744.17,91.4
682,661,96,-7,6279.35,50.8
683,675,107,5,5419.08,0.4
684,34,96,-1,6742.08,51.9
685,326,147,6,7943.35,24.2
686,198,148,7,3489.91,93.9
687,178,133,7,1351.7,23.1
688,130,101,2,6759.94,62.7
689,567,53,3,836.71,2.6
691,134,92,8,1573.79,65.3
692,199,97,4,6186.09,65.9
693,148,149,1,6948.82,11.1
694,126,68,2,7167.38,9.3
695,371,126,4,6383.99,41.4
696,641,108,2,3064.51,31.4
697,165,46,3,5311.36,63.1
698,121,124,6,7959.84,60.0
700,157,30,4,7198.72,2.9
701,86,124,3,1673.98,9.2
702,668,127,5,3544.89,94.6
703,257,72,3,7698.78,10.3
704,602,53,5,7634.72,48.8
705,434,28,5,4897.64,42.9
706,383,9,2,7668.97,25.3
707,619,30,6,1521.24,32.3
708,367,96,4,3038.52,78.0
709,327,55,1,3776.48,79.5
710,576,55,2,4265.37,10.3
711,623,108,2,5488.84,43.5
712,203,127,4,4039.34,99.0
713,128,84,8,4770.25,23.6
715,547,5,1,648.69,9.5
716,309,89,5,3262.72,55.6
717,628,117,1,3997.36,64.1
718,383,13,-2,6621.11,13.9
719,447,49,4,5820.45,81.2
720,551,14,1,2151.53,78.5
721,312,98,2,2232.31,17.0
722,472,38,2,6048.98,88.8
723,424,134,8,4267.95,57.8
724,288,124,6,1884.06,26.4
725,85,63,6,5309.9,73.5
726,80,16,2,1778.56,67.0
727,395,88,4,1748.43,59.1
728,321,40,5,6797.68,10.6
729,373,132,7,1703.86,40.0
730,434,148,3,5222.23,14.7
731,113,118,-4,1577.54,2.9
732,464,141,6,764.13,43.1
733,515,14,7,3586.59,37.0
734,392,49,7,3281.27,59.4
735,506,13,7,5206.12,95.9
736,55,62,1,620.19,10.1
737,636,26,7,1837.12,82.4
738,508,53,4,2846.3,28.8
739,4,123,2,5938.82,85.3
740,175,43,6,1580.02,90.0
741,14,6,8,1502.37,26.4
742,696,122,1,4706.95,48.8
743,113,146,1,5472.37,29.1
744,516,25,3,889.94,80.4
745,503,66,6,5340.93,25.4
746,362,133,5,6218.76,85.7
747,611,133,8,5852.9,2.1
748,226,8,3,2030.51,74.1
749,369,50,4,7373.11,37.8
750,281,135,8,1482.12,91.0
751,340,71,7,2543.65,4.1
752,352,117,2,4576.63,79.3
753,113,38,1,3783.91,15.0
754,639,74,3,610.47,29.5
755,223,32,5,520.23,30.6
756,677,36,1,2866.72,28.3
757,682,70,3,1226.89,73.3
758,83,122,5,7470.18,24.9
759,396,26,7,7154.97,92.0
760,178,83,7,6454.6,13.9
761,257,52,3,2478.39,8.6
762,644,97,8,6281.01,83.4
763,540,129,8,7485.55,71.3
764,438,106,8,3744.14,91.3
766,525,140,6,7209.31,87.8
767,403,2,3,3756.18,76.3
768,56,28,2,2734.52,9.7
769,494,32,6,5949.74,67.4
770,55,144,4,5949.35,49.5
771,692,80,3,5781.22,93.7
772,639,1,4,1308.87,88.0
773,254,7,4,6678.54,44.4
774,125,48,5,6580.14,84.2
775,628,32,8,3515.59,63.6
776,674,140,4,1682.77,48.0
777,103,71,8,3190.39,69.8
778,427,73,7,3710.95,56.4
780,480,41,8,2926.21,85.6
781,358,45,7,5281.76,35.2
782,348,36,8,2298.89,76.3
783,404,124,2,3074.53,47.2
784,590,83,5,4751.93,58.1
785,414,41,2,1930.46,66.5
786,696,60,8,7852.49,80.9
787,243,45,2,5852.49,38.4
788,66,30,1,395.6,75.0
789,384,83,1,950.52,45.0
790,653,126,4,3556.37,28.6
791,166,50,7,779.54,2.4
792,99,36,4,7157.0,36.0
793,560,136,2,4019.79,83.2
794,486,144,6,6842.03,80.2
795,641,146,7,717.34,78.2
796,121,139,8,2714.27,22.4
797,258,18,7,6992.3,15.8
798,548,129,4,2566.69,61.9
799,114,68,8,5260.53,3.2
800,206,16,6,1200.38,54.7
801,680,19,1,6464.73,56.4
802,37,107,6,4825.37,61.2
803,565,70,8,5814.31,10.4
804,231,78,6,6274.18,87.6
805,57,51,1,4320.07,86.0
806,19,97,8,5593.98,43.0
807,142,95,2,2879.13,34.3
808,244,3,4,1894.29,74.7
809,550,4,1,6998.72,25.0
810,59,73,3,445.38,35.0
811,251,102,5,3881.74,12.2
812,257,92,4,7191.36,85.9
813,310,75,6,6964.87,24.4
814,327,106,2,5673.46,62.2
815,209,134,3,1921.23,74.2
816,382,61,3,5616.9,65.0
817,117,9,1,2235.36,58.8
818,87,99,1,4013.32,86.3
819,46,48,4,5313.41,53.2
820,33,87,6,7389.32,90.7
821,606,88,4,5833.71,62.2
822,59,74,2,6882.26,93.8
823,587,98,5,3791.93,99.3
824,16,71,5,775.74,25.0
825,346,71,7,2957.39,65.9
826,623,146,1,5320.13,83.6
827,455,3,-8,3784.87,96.6
828,570,149,4,7516.79,27.6
829,322,67,2,6151.22,27.6
830,131,38,4,6982.79,65.6
831,671,130,1,6898.51,58.0
832,234,67,1,7804.73,1.6
833,362,90,1,962.39,50.7
834,80,147,4,3033.74,82.3
835,658,37,7,295.09,60.7
836,418,76,6,5013.14,16.0
837,154,55,1,6483.47,51.1
838,521,97,6,6662.74,3.3
839,391,58,2,4566.68,99.8
840,429,136,2,6405.82,60.7
841,533,50,8,6704.47,29.3
842,249,81,6,6010.69,11.5
843,420,144,6,4094.58,91.5
844,620,108,4,1915.13,82.8
845,551,105,4,5425.43,66.6
846,294,21,6,3327.17,50.5
847,507,117,4,222.55,12.1
848,568,33,8,6968.72,83.4
850,412,31,4,2760.79,82.5
